name,category,terrace,description,price,street,zipcode,city,Photo 1,Photo 2
Bar Club ABC,Nightclub,FALSE,Amazing place for your late nights or afters,$$,Rue du grand-pont,1003,Lausanne,https://www.lausannecites.ch/sites/default/files/styles/820x450/public/import/CON_630869_1274_A.jpg?itok=Y0vXTAX4,https://i.ytimg.com/vi/zT08o5d5cOE/maxresdefault.jpg
Artishow,Bar,FALSE,Cocktail bar with amazing choice of cocktails,$,Rue des Côtes-de-Montbenon 5,1003,Lausanne,https://media-cdn.tripadvisor.com/media/photo-s/14/ef/23/f1/getlstd-property-photo.jpg,https://media-cdn.tripadvisor.com/media/photo-s/18/51/c9/11/events-summer.jpg
Folklor Club,Nightclub,FALSE,Great music and ambiance,$$,Place de la Riponne 10,1005,Lausanne,"https://res.cloudinary.com/lt-assets/image/upload/c_fill,g_auto,h_900,w_1600/y3mjc9n2oadgv50dzzfe",https://static.qoqa.ch/component/slider/media/images/000/153/895/big_webp/FOLKLOR_3.webp?1609050566
Chic Club,Nightclub,FALSE,Best place to meet 50 years old women..,$$,Place centrale,1005,Lausanne,https://10619-2.s.cdn12.com/rests/original/101_507787932.jpg,https://epfl.esn.ch/sites/epfl.esn.ch/files/styles/zoom/public/events/images/9_site.jpg?itok=qrnkZMPx
Bikini Beach,Beach Bar,TRUE,Lovely location with great Peruvian food right on the lake in Lausanne. Unique experience. ,$$,Avenue Emile-Henri-Jaques-Dalcroze 9,1007,Lausanne,https://www.lausannecites.ch/sites/default/files/styles/820x450/public/import/CON_474317_1283_A.jpg?itok=-jTcdK8H,https://bin.staticlocal.ch/localplace-images/d6/d65a72cec867a5eb88533656b0087f84ec676331/2X8A1482.jpg
Beerfarm,Beer Bar,TRUE,Well curated selection of local and imported beers alike,$,Rue de la Tour 14,1004,Lausanne,https://lamise.ch/4144-home_large/malpolon-la-montagnarde-cyclic-beer-farm-yeast-trio-pack-4x375cl-56-375cl-bte.jpg,https://lamise.ch/4144-home_large/malpolon-la-montagnarde-cyclic-beer-farm-yeast-trio-pack-4x375cl-56-375cl-bte.jpg
Bulldog Bar,Sports Bar,TRUE,"Airy bar with a lengthy beer lineup, standard pub grub & burgers & abundant soccer matches on TV",$,Rue du Port-Franc 17,1003,Lausanne,http://www.donovanbernini.ch/img/visual_identity/16bb/16bb_bulldogbar_vitrines_06.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0f/7c/08/98/bulldog.jpg
Pink Beach,Gay Bar,FALSE,"Enormous sauna, play rooms with great variety of rooms and equipment. Amazin Bar on ground level",$$,Avenue de Tivoli 9,1007,Lausanne,https://cms.gayguide.travel/images/listings_images/popup_images/8457.jpg,https://www.gay-sejour.com/data_img/activite/image1/8877_image1.jpg
Tao Lounge Bar,Lounge,TRUE,Asian lounge in the lausanne flon area,$$,Rue des Côtes-de-Montbenon 20,1003,Lausanne,https://media-cdn.tripadvisor.com/media/photo-s/19/de/84/4c/bar.jpg,https://res.cloudinary.com/tf-lab/image/upload/restaurant/0427fa0e-f9fa-4a52-81b1-b3f8745dabd3/c1dc68b7-62df-450d-9894-b72f28b3fa7a.jpg
Sky Lounge,Rooftop,TRUE,Stunning view and very conveniently located close to public transportation ,$$$,Avenue d'Ouchy 40,1006,Lausanne,https://lifestylemagazine.ch/wp-content/uploads/2018/10/Skylounge_Royal_Savoy_30Avril2018%C2%A9SG.Maillot-point-of-views.ch-2036-1080x608.jpg,https://media-cdn.tripadvisor.com/media/photo-s/1b/96/c5/06/skylounge.jpg
Marina Lounge,Beach Bar,TRUE,"Directly on the lake, one of the best location and view",$$,Allée du Bornan 8,1007,Lausanne,https://media-cdn.tripadvisor.com/media/photo-s/0f/63/78/93/terasse-lounge.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0f/aa/9a/f5/marina-lounge-bar-restaurant.jpg
The Colony Lounge Bar,Shisha Bar,TRUE,The most popular shisha spot in Lausanne since 2016,$,Avenue du Théâtre 2,1005,Lausanne,https://media-cdn.tripadvisor.com/media/photo-s/16/86/1a/f7/le-colony-lounge-bar.jpg,https://media-cdn.tripadvisor.com/media/photo-s/16/86/1a/fc/le-colony-lounge-bar.jpg
Sky Café,Shisha Bar,TRUE,Well known place for its Shisha,$,Rue du Midi 8,1020,Lausanne,https://10619-2.s.cdn12.com/rests/original/316_500597231.jpg,https://10619-2.s.cdn12.com/rests/original/316_500597226.jpg
Les CHICHAS des ARCHES,Shisha Bar,TRUE,Great place to meet friends after work,$,Route de Bel-Air,1003,Lausanne,https://www.lausannecites.ch/sites/default/files/import/CON_950172_1788_A.jpg,https://media.timeout.com/images/102414065/630/472/image.jpg
